,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
18442,2010-06-29,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0
18443,2010-06-30,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0
18444,2010-07-01,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
18445,2010-07-02,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0
18446,2010-07-03,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0
18447,2010-07-04,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
18448,2010-07-05,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0
18449,2010-07-06,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0
18450,2010-07-07,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0
18451,2010-07-08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
18452,2010-07-09,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
18453,2010-07-10,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0
18454,2010-07-11,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
18455,2010-07-12,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
18456,2010-07-13,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
18457,2010-07-14,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
18458,2010-07-15,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
18459,2010-07-16,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0
18460,2010-07-17,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
18461,2010-07-18,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
18462,2010-07-19,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
18463,2010-07-20,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
18464,2010-07-21,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0
18465,2010-07-22,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0
18466,2010-07-23,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0
18467,2010-07-24,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0
18468,2010-07-25,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
18469,2010-07-26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18470,2010-07-27,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0
18471,2010-07-28,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
18472,2010-07-29,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
18473,2010-07-30,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0
18474,2010-07-31,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0
18475,2010-08-01,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0
18476,2010-08-02,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
18477,2010-08-03,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
18478,2010-08-04,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
18479,2010-08-05,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
18480,2010-08-06,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
18481,2010-08-07,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
18482,2010-08-08,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
18483,2010-08-09,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0
18484,2010-08-10,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0
18485,2010-08-11,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0
18486,2010-08-12,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
18487,2010-08-13,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
18488,2010-08-14,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0
18489,2010-08-15,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
18490,2010-08-16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18491,2010-08-17,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
18492,2010-08-18,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
18493,2010-08-19,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
18494,2010-08-20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
18495,2010-08-21,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
18496,2010-08-22,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0
18497,2010-08-23,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
18498,2010-08-24,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0
18499,2010-08-25,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
18500,2010-08-26,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
18501,2010-08-27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18502,2010-08-28,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
18503,2010-08-29,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
